endTime,artistName,trackName,msPlayed
2021-11-25 18:30,China songs,Never Stop,211022
2021-11-25 18:30,希林娜依•高,颗粒季,1493
2021-11-25 18:30,一口甜,圈住你,7037
2021-11-25 18:34,Lu Han,咖啡 (LH x KW),917
2021-11-25 18:34,Eric Chou,永不失聯的愛,259600
2021-11-25 18:34,满舒克,笑看江湖 - 网剧《山河令》江湖推广曲,960
2021-11-25 18:34,Wen Wei,Teenage Dream,12860
2021-11-25 18:34,阿悠悠,旧梦一场,1088
2021-11-25 18:38,Xiao Zhan,[Theme Song] Wu Ji - Chorus Edition,253133
2021-11-25 18:43,黃冠筑,Ten Years of Hits - Mandarin Version,273750
2021-11-25 18:47,WayV,Turn Back Time,218680
2021-11-25 18:51,李鑫一,月牙灣,1194
2021-11-25 18:51,李鑫一,月牙灣,1898
2021-11-25 18:51,Michael Wong,童話,246008
2021-11-25 18:51,Lu Han,夢寐之地 - 《穿越火線》主題曲,2474
2021-11-25 18:51,Lu Han,夢寐之地 - 《穿越火線》主題曲,22811
2021-11-25 18:55,China songs,Downwind,221216
2021-11-25 18:56,Z.TAO,冰激凌,3391
2021-11-25 18:56,棉子,勇气,2026
2021-11-25 18:56,高瀚宇,Miracle,1578
2021-11-25 18:56,孤者沈韩,除了春天爱情和樱花 - 现场版,28758
2021-11-25 18:56,G.E.M.,我的秘密 (MySecret),1088
2021-11-25 18:56,Jay Chou,安靜,938
2021-11-25 19:00,程響,四季予你,248527
2021-11-25 19:03,苏绵绵,桃花酒,212791
2021-11-25 19:08,周深,[Xue Yang] Huang Cheng Du,259178
2021-11-25 19:12,摩登兄弟劉宇寧,琉璃 - 電視劇《琉璃》片頭曲,230000
2021-11-25 19:15,易烊千璽,精彩才刚刚开始,227647
2021-11-25 19:21,Steve Chou,黃昏,344200
2021-11-25 19:22,Hua Chen Yu,新世界,27999
2021-11-25 19:22,WANG YIBO,最燃的冒險 (電視劇《陪你到世界之巔》主題曲),11306
2021-11-25 19:27,Azora Chin,是你想成为的大人吗,331530
2021-11-25 19:32,A-Lin,天若有情 - 電視劇「錦繡未央」主題曲,257254
2021-11-25 19:34,Kingbeck 陳家勁,夜空中最亮的星,139090
2021-11-25 19:37,许诗茵,白衣少年 - 伴奏版,216544
2021-11-25 19:41,831,"想見你想見你想見你(電視劇""想見你""片尾曲)",239794
2021-11-25 19:45,連淮偉,愛是,197045
2021-11-25 19:48,音阙诗听,芒种,216000
2021-11-25 19:52,Jay Chou,青花瓷,237346
2021-11-25 23:31,印子月,落空,10641
2021-11-26 22:10,Rotten Mango,#106: The Haunting of Corpsewood Manor (Case of Dr. Charles Scudder),6492
2021-11-26 22:10,Rotten Mango,#105: The Ripper of China (Serial Killer Gao Chengyong),2055758
2021-12-01 19:50,印子月,落空,222886
2021-12-01 19:54,Queena Cui,微微,281454
2021-12-01 19:58,霍尊,不死鳥,175427
2021-12-04 00:25,China songs,You Have Me,223375
2021-12-04 00:25,Michael Wong,約定 - 2016 Live Version,998
2021-12-04 00:25,China songs,Downwind,1066
2021-12-04 00:29,吴亦凡,大碗宽面,3623
2021-12-04 00:29,China songs,Never Stop,211022
2021-12-04 00:32,China songs,When I Was Eighteen,182508
2021-12-04 00:33,Michael Wong,約定 - 2016 Live Version,53833
2021-12-04 00:37,周深,[Xue Yang] Huang Cheng Du,9035
2021-12-04 00:37,Jay Chou,告白氣球,215146
2021-12-04 00:39,Joyce Chu,I Miss You,158160
2021-12-04 00:43,徐艺洋,会不会再见,199897
2021-12-04 00:43,Ice Paper,心如止水,5486
2021-12-04 19:53,吴亦凡,大碗宽面,1941
2021-12-04 19:53,高瀚宇,Miracle,2432
2021-12-05 14:16,bladeyou,I Know,52650
2021-12-05 18:41,In Love With a Ghost,We've Never Met but Can We Have a Cup of Coffee or Something,23978
2021-12-06 22:08,Yu-Peng Chen,Fragile Fantasy,4410
2021-12-06 22:08,Yu-Peng Chen,Snow-Buried Tales,2720
2021-12-06 22:08,Yu-Peng Chen,Once-Colored Memories,5880
2021-12-07 23:42,Yu-Peng Chen,A Transparent Moon (Liuli Pavilion),58286
