Order_listened,Title,Artist,Duration_in_milliseconds
1,Never Stop,China songs,211022
2,颗粒季,希林娜依•高,1493
3,圈住你,一口甜,7037
4,咖啡 (LH x KW),Lu Han,917
5,永不失聯的愛,Eric Chou,259600
6,笑看江湖 - 网剧《山河令》江湖推广曲,满舒克,960
7,Teenage Dream,Wen Wei,12860
8,旧梦一场,阿悠悠,1088
9,[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,253133
10,Ten Years of Hits - Mandarin Version,黃冠筑,273750
11,Turn Back Time,WayV,218680
12,月牙灣,李鑫一,1194
13,月牙灣,李鑫一,1898
14,童話,Michael Wong,246008
15,夢寐之地 - 《穿越火線》主題曲,Lu Han,2474
16,夢寐之地 - 《穿越火線》主題曲,Lu Han,22811
17,Downwind,China songs,221216
18,冰激凌,Z.TAO,3391
19,勇气,棉子,2026
20,Miracle,高瀚宇,1578
21,除了春天爱情和樱花 - 现场版,孤者沈韩,28758
22,我的秘密 (MySecret),G.E.M.,1088
23,安靜,Jay Chou,938
24,四季予你,程響,248527
25,桃花酒,苏绵绵,212791
26,[Xue Yang] Huang Cheng Du,周深,259178
27,琉璃 - 電視劇《琉璃》片頭曲,摩登兄弟劉宇寧,230000
28,精彩才刚刚开始,易烊千璽,227647
29,黃昏,Steve Chou,344200
30,新世界,Hua Chen Yu,27999
31,最燃的冒險 (電視劇《陪你到世界之巔》主題曲),WANG YIBO,11306
32,是你想成为的大人吗,Azora Chin,331530
33,天若有情 - 電視劇「錦繡未央」主題曲,A-Lin,257254
34,夜空中最亮的星,Kingbeck 陳家勁,139090
35,白衣少年 - 伴奏版,许诗茵,216544
36,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,239794
37,愛是,連淮偉,197045
38,芒种,音阙诗听,216000
39,青花瓷,Jay Chou,237346
40,落空,印子月,10641
43,落空,印子月,222886
44,微微,Queena Cui,281454
45,不死鳥,霍尊,175427
46,You Have Me,China songs,223375
47,約定 - 2016 Live Version,Michael Wong,998
48,Downwind,China songs,1066
49,大碗宽面,吴亦凡,3623
50,Never Stop,China songs,211022
51,When I Was Eighteen,China songs,182508
52,約定 - 2016 Live Version,Michael Wong,53833
53,[Xue Yang] Huang Cheng Du,周深,9035
54,告白氣球,Jay Chou,215146
55,I Miss You,Joyce Chu,158160
56,会不会再见,徐艺洋,199897
57,心如止水,Ice Paper,5486
58,大碗宽面,吴亦凡,1941
59,Miracle,高瀚宇,2432
60,I Know,bladeyou,52650
61,We've Never Met but Can We Have a Cup of Coffee or Something,In Love With a Ghost,23978
62,Fragile Fantasy,Yu-Peng Chen,4410
63,Snow-Buried Tales,Yu-Peng Chen,2720
64,Once-Colored Memories,Yu-Peng Chen,5880
65,A Transparent Moon (Liuli Pavilion),Yu-Peng Chen,58286
66,Dusk in Mondstadt,Yu-Peng Chen,108770
67,Vast and Blue,Yu-Peng Chen,142934
68,Tender Strength,Yu-Peng Chen,82755
69,Fragile Fantasy,Yu-Peng Chen,120900
70,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,101554
71,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",Yu-Peng Chen,204268
72,Moonlike Smile,Yu-Peng Chen,77958
73,Snow-Buried Tales,Yu-Peng Chen,91984
74,Say My Name,Yu-Peng Chen,111935
75,Forsaken Child of Ancient Times (Dvalin's Nest),Yu-Peng Chen,175000
76,Reminiscence - Genshin Impact Main Theme Var.,Yu-Peng Chen,95000
77,A New Day with Hope,Yu-Peng Chen,103237
78,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,199354
79,Hanachirusato,Yu-Peng Chen,94066
80,Ripples of Daydream,Yu-Peng Chen,83377
81,Lovers' Oath,Yu-Peng Chen,79610
82,Another Hopeful Tomorrow,Yu-Peng Chen,85783
83,Once-Colored Memories,Yu-Peng Chen,61998
84,Everlasting Devotion,Yu-Peng Chen,4760
85,Worst Mistake,Park Bird,29403
86,Luhua Pool,Chewie Melodies,111148
87,Inazuma,Yu-Peng Chen,329773
88,Fall of Maples,Yu-Peng Chen,116666
89,Separated Dream,Yu-Peng Chen,100960
90,Streets of Elegance,Yu-Peng Chen,117213
91,Lingering Blossom,Yu-Peng Chen,69493
92,The Land of Her Serenity,Yu-Peng Chen,95053
93,In the Strange Realm of Sakura,Yu-Peng Chen,89280
94,Blue Dream,Yu-Peng Chen,82280
95,Dream of Scattered Petals,Yu-Peng Chen,120253
96,Thoughts of Lightning,Yu-Peng Chen,114173
97,The Mysterious Islands,Yu-Peng Chen,83506
98,Sakura-Scented Kiseru,Yu-Peng Chen,88786
99,Her Legacy,Yu-Peng Chen,71053
100,Everlasting Devotion,Yu-Peng Chen,87560
101,Kitsune's Mask,Yu-Peng Chen,99893
102,Hanachirusato,Yu-Peng Chen,94066
103,Time to Say Farewell,Yu-Peng Chen,91706
104,Flickering Sakura,Yu-Peng Chen,65640
105,Sigh of an Old Friend,Yu-Peng Chen,73666
106,The Sealed Harbor,Yu-Peng Chen,72853
107,Island for Outlanders,Yu-Peng Chen,93040
108,Dream of Homeland,Yu-Peng Chen,63733
109,Interwoven Nostalgia,Yu-Peng Chen,6276
110,That's Life,Frank Sinatra,39125
111,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,44501
112,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,57066
113,Say My Name,Yu-Peng Chen,58572
114,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,2304
115,Reminiscence - Genshin Impact Main Theme Var.,Yu-Peng Chen,6549
116,Fragile Fantasy,Yu-Peng Chen,448
117,Vast and Blue,Yu-Peng Chen,13503
118,Snow-Buried Tales,Yu-Peng Chen,6186
119,Dusk in Mondstadt,Yu-Peng Chen,7381
120,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,1322
121,A New Day with Hope,Yu-Peng Chen,4991
122,Tender Strength,Yu-Peng Chen,19306
123,Ripples of Daydream,Yu-Peng Chen,83377
124,Moonlike Smile,Yu-Peng Chen,3263
125,Say My Name,Yu-Peng Chen,10901
126,A Transparent Moon (Liuli Pavilion),Yu-Peng Chen,6080
127,Lovers' Oath,Yu-Peng Chen,72752
128,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",Yu-Peng Chen,5546
129,Forsaken Child of Ancient Times (Dvalin's Nest),Yu-Peng Chen,0
130,Forlorn Child of Archaic Winds (Dvalin's Nest),Yu-Peng Chen,512
131,Reminiscence - Genshin Impact Main Theme Var.,Yu-Peng Chen,1664
132,Say My Name,Yu-Peng Chen,6293
133,Vast and Blue,Yu-Peng Chen,8063
134,Snow-Buried Tales,Yu-Peng Chen,2005
135,Dusk in Mondstadt,Yu-Peng Chen,448
136,Twilight Serenity - Genshin Impact Main Theme Var.,Yu-Peng Chen,29610
137,A New Day with Hope,Yu-Peng Chen,1621
138,Tender Strength,Yu-Peng Chen,8490
139,Tender Strength,Yu-Peng Chen,2773
140,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,2270
141,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",Doris Day,22490
142,Coffin Dance,Music Falcon,15940
143,Coffin Dance - Dubstep,Music Falcon,4340
144,Astronomia 2K20,DJSM,2780
145,Astronomia 2K20,DJSM,19820
146,Astronomia - Coffin Dance (Piano Version),Fonzi M,3610
147,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",Doris Day,3210
148,Coffin Dance,Music Falcon,89990
149,You Have Me,China songs,223375
150,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,1024
151,笑看江湖 - 网剧《山河令》江湖推广曲,满舒克,511
152,愛是,連淮偉,1557
153,When I Was Eighteen,China songs,182508
154,Downwind,China songs,1514
155,Downwind,China songs,5226
156,无题 - 网剧《山河令》插曲,Hu Xia,4635
157,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,195744
158,Downwind,China songs,198890
