Title,Artist,Genre,Language,Times_Listened
Fly Me Away,StreamBeats Originals,N/A,English,173
Count The Days,StreamBeats Originals,Holiday,English,59
Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),Bebe Rexha,Dance Pop,English,42
Fly Me Away - Instrumental,StreamBeats Originals,N/A,N/A,33
风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,Chinese Drama Ost,Chinese,33
異類,Hua Chen Yu,Mandopop,Chinese,29
喜欢你,Kit Chan,Mandopop,Chinese,29
In The Stars,Benson Boone,Pop,English,28
Downwind,China songs,Chinese Drama Ost,Chinese,28
123我爱你,新乐尘符,Chinese Viral Pop,Chinese,26
Tender Strength,Yu-Peng Chen,N/A,N/A,26
Never Stop,China songs,Chinese Drama Ost,Chinese,26
中国话,S.H.E,Mandopop,Chinese,24
阿楚姑娘,TIA RAY,Pop,Chinese,24
When I Was Eighteen,China songs,Chinese Drama Ost,Chinese,24
[Wen Qing] woodland,Gao Qiuzi,Chinese Drama Ost,Chinese,23
You Have Me,China songs,Chinese Drama Ost,Chinese,23
"一起走的幸福 (電視劇《親愛的, 熱愛的》插曲)",段奧娟,Chinese Drama Ost,Chinese,23
Turn Back Time,WayV,Mandopop,Chinese,23
愛是,連淮偉,Chinese Drama Ost,Chinese,22
青花瓷,Jay Chou,Mandopop,Chinese,22
黃昏,Steve Chou,Mandopop,Chinese,22
会不会再见,徐艺洋,N/A,Chinese,22
安靜,Jay Chou,Mandopop,Chinese,22
大碗宽面,吴亦凡,N/A,Chinese,21
笑看江湖 - 网剧《山河令》江湖推广曲,满舒克,Chinese Viral Pop,Chinese,21
芒种,音阙诗听,Mandopop,Chinese,21
學貓叫,小潘潘,Chinese Manyao,Chinese,21
Honey,Cyndi Wang,Mandopop,Chinese,21
枕邊童話,愛寫歌的小田,Mandopop,Chinese,21
[Theme Song] Wu Ji - Chorus Edition,Xiao Zhan,Chinese Drama Ost,Chinese,21
飞鸟和蝉,Ren Ran,Mandopop,Chinese,21
童話,Michael Wong,Mandopop,Chinese,20
那女孩對我說,Rachel Liang,Mandopop,Chinese,20
未接來電,莫宰羊,Mandopop,Chinese,20
"我多喜歡你,你會知道(網劇<致我們單純的小美好>推廣曲)",Wang Jun Qi,Chinese Viral Pop,Chinese,20
无题 - 网剧《山河令》插曲,Hu Xia,Chinese Drama Ost,Chinese,20
告白氣球,Jay Chou,Mandopop,Chinese,20
Miracle,高瀚宇,Chinese Drama Ost,Chinese,20
那些年,Hu Xia,Mandopop,Chinese,20
Ten Years of Hits - Mandarin Version,黃冠筑,Chinese Viral Pop,Chinese,20
老鼠愛大米,Twins,Cantopop,Chinese,19
時候,Sue,Chinese Singer-songwriter,Chinese,19
心如止水,Ice Paper,Mandopop,Chinese,19
刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,Mandopop,Chinese,19
I Miss You,Joyce Chu,Mandopop,Chinese,19
髮如雪,Jay Chou,Mandopop,Chinese,19
我很快樂,Eric Chou,Mandopop,Chinese,19
大魚 - 唱片版,周深,Chinese Drama Ost,Chinese,19
Say Yes,徐紫茵,Chinese Drama Ost,Chinese,18
