neighborhood,zip_code,country
Adachi Ku,120-0000,Japan
Akiruno Shi,190-0100,Japan
Akishima Shi,196-0000,Japan
Arakawa Ku,116-0000,Japan
Bunkyo Ku,112-0000,Japan
Chiyoda Ku,100-0000,Japan
Chofu Shi,182-0000,Japan
Chuo Ku,103-0000,Japan
Edogawa Ku,132-0000,Japan
Fuchu Shi,183-0000,Japan
Fussa Shi,197-0000,Japan
Hachijo Machi,100-1400,Japan
Hachioji Shi,192-0000,Japan
Hamura Shi,205-0000,Japan
Higashikurume Shi,203-0000,Japan
Higashimurayama Shi,189-0000,Japan
Higashiyamato Shi,207-0000,Japan
Hino Shi,191-0000,Japan
Hinohara Mura,190-0200,Japan
Inagi Shi,206-0000,Japan
Itabashi Ku,174-0000,Japan
Katsushika Ku,124-0000,Japan
Kita Ku,114-0000,Japan
Kodaira Shi,187-0000,Japan
Koganei Shi,184-0000,Japan
Kokubunji Shi,185-0000,Japan
Komae Shi,201-0000,Japan
Koto Ku,135-0000,Japan
Kozushima Mura,100-0601,Japan
Kunitachi Shi,186-0000,Japan
Machida Shi,194-0000,Japan
Meguro Ku,152-0000,Japan
Minato Ku,105-0000,Japan
Mitaka Shi,181-0000,Japan
Miyake Mura,100-1100,Japan
Musashimurayama Shi,208-0000,Japan
Musashino Shi,180-0000,Japan
Nakano Ku,164-0000,Japan
Nerima Ku,176-0000,Japan
Niijima Mura,100-0400,Japan
Nishitokyo Shi,202-0000,Japan
Ogasawara Mura,100-2100,Japan
Okutama Machi,198-0212,Japan
Ome Shi,198-8701,Japan
Oshima Machi,100-0100,Japan
Ota Ku,144-0000,Japan
Setagaya Ku,154-0000,Japan
Shibuya Ku,150-0000,Japan
Shinagawa Ku,140-0000,Japan
Shinjuku Ku,160-0000,Japan
Suginami Ku,166-0000,Japan
Sumida Ku,130-0000,Japan
Tachikawa Shi,190-0000,Japan
Taito Ku,110-0000,Japan
Tama Shi,206-0000,Japan
Toshima Ku,170-0000,Japan
